Latitude,Longitude,Flood Depth (m)
48.70771280159125,11.432757497085673,1.01
48.707628659853896,11.432481556250842,1.0
48.7065472359691,11.432565343509859,1.0
48.70771567059528,11.432621693946995,0.99
48.70762579101883,11.432617359169518,0.99
48.707538780266745,11.432477221736185,0.99
48.70753591144069,11.432613024413454,0.99
48.70745176933499,11.43233708478567,0.99
48.70735902108734,11.432468552771105,0.99
48.707448900677896,11.43247288724294,0.98
48.706544367082294,11.43270114351029,0.98
48.707446031860854,11.432608689678801,0.97
48.70744316288387,11.432744492093248,0.97
48.70736188973543,11.432332750555243,0.97
48.706634246670106,11.432705478272235,0.97
48.706364607901605,11.432692474050635,0.97
48.7075330424547,11.432748827069311,0.96
48.70744029374696,11.432880294486283,0.96
48.70735615227932,11.432604354965557,0.96
48.70735328331137,11.4327401571386,0.96
48.7069038854233,11.432718482686534,0.96
48.7068140058406,11.432714147860354,0.96
48.70663137761434,11.43284127849265,0.96
48.706541498035556,11.43283694348931,0.96
48.70762292202382,11.432753162066785,0.95
48.70754164893286,11.432341419037508,0.95
48.70690962310913,11.432446880733075,0.95
48.706901016340495,11.432854283631144,0.95
48.70681687475446,11.432578347135731,0.95
48.70662850839866,11.432977078691655,0.95
48.707707063103385,11.433029103298786,0.94
48.707631528529035,11.432345753310752,0.94
48.70761718355399,11.433024767797079,0.94
48.70753017330877,11.432884629703754,0.94
48.707350414183466,11.432875959290229,0.94
48.707272010134155,11.432328416346223,0.94
48.707263403737144,11.43273582220536,0.94
48.70726053461827,11.432871624115585,0.94
48.70716778578158,11.43300309060976,0.94
48.706993765004306,11.43272281753412,0.94
48.70699089591248,11.432858618720136,0.94
48.706819743508376,11.432442546389696,0.94
48.70653862882888,11.432972743446918,0.94
48.70952823074947,11.423464764497536,0.93
48.7075273040029,11.433020432316784,0.93
48.70743742445011,11.433016096857907,0.93
48.70734754489563,11.433011761420444,0.93
48.70726914149509,11.43246421832068,0.93
48.707257665339455,11.433007426004394,0.93
48.707077906222,11.432998755236541,0.93
48.70672125719143,11.432845613517403,0.93
48.707799811983996,11.432897635484649,0.92
48.70770993242728,11.432893300202934,0.92
48.70762005286888,11.432888964942638,0.92
48.70726627269609,11.432600020273727,0.92
48.707173524161234,11.432731487293537,0.92
48.707170655051364,11.432867288962354,0.92
48.70708651352452,11.432591350954295,0.92
48.707083644583626,11.432727152403125,0.92
48.70708077548278,11.43286295383054,0.92
48.70689814709776,11.432990084554346,0.92
48.70681113676681,11.432849948563566,0.92
48.70671838796672,11.432981413957805,0.92
48.706451618455084,11.432832608507383,0.92
48.70636173887289,11.432828273546866,0.92
48.707179261901146,11.432459883891664,0.91
48.70717639311116,11.432595685603307,0.91
48.70699950270814,11.432451215097862,0.91
48.7069966339362,11.432587016326696,0.91
48.706988026660724,11.432994419884736,0.91
48.706906754346186,11.432582681720508,0.91
48.70680826753308,11.432985749245367,0.91
48.706726995161034,11.432574012572363,0.91
48.70672412625619,11.432709813055588,0.91
48.70663711556591,11.432569678030406,0.91
48.706454487492806,11.432696808769757,0.91
48.70644874925744,11.432968408223596,0.91
48.70635886968426,11.432964073021687,0.91
48.70779694265107,11.433033438821909,0.9
48.70626899010941,11.432959737841191,0.89
48.7070893823055,11.432455549484057,0.87
48.70950250038389,11.42468704416887,0.85
48.70941262030686,11.424682723250692,0.85
48.70906453711957,11.424122209424084,0.84
48.70897465699811,11.424117889578362,0.84
48.70645735637059,11.432561009010723,0.84
48.70906739600416,11.423986401778901,0.83
48.70898037458936,11.423846274749529,0.83
48.70897751587371,11.423982082174614,0.83
48.70915727613291,11.423990721404527,0.82
48.70907025472879,11.423850594112382,0.82
48.70906167807504,11.42425801704793,0.82
48.70889049444823,11.423841955408012,0.82
48.70916013486653,11.42385491349657,0.81
48.70907311329346,11.423714786424526,0.81
48.70898323314505,11.423710467303108,0.81
48.70953108887922,11.423328955538484,0.8
48.70950535995321,11.424551235401859,0.8
48.7092643063163,11.423180191835106,0.8
48.709250015002574,11.423859232902096,0.8
48.709162993440195,11.423719105567278,0.8
48.70915441723935,11.424126529291145,0.8
48.708893352994934,11.423706148203024,0.8
